"","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","logFC_Cancer_vs_Normal","B"
"2650199","SMC4",-1.2634122,5.73759245555556,-8.67971891847107,8.24665302893803e-14,1.36109349183667e-11,1.2634122,21.0298914727538
"3268669","BUB3",-1.16766055555555,7.8180359,-8.6785444242735,8.29513030019069e-14,1.36109349183667e-11,1.16766055555555,21.0241688459797
"3984655","CENPI",-1.36864388888889,3.39493576666667,-8.67727151624649,8.34799061369089e-14,1.36109349183667e-11,1.36864388888889,21.0179668085145
"2827185","LMNB1",-1.26863146666667,6.03203253333333,-8.67045428668038,8.63686208790667e-14,1.39783802512437e-11,1.26863146666667,20.9847527886483
"3056292","CLDN3",-1.46517853333333,6.92437604444444,-8.6537144118509,9.38919692302988e-14,1.50850812753876e-11,1.46517853333333,20.9032081003437
"3910785","AURKA",-1.41772417777778,4.93666346666667,-8.64317717918616,9.89593318176016e-14,1.57840134249075e-11,1.41772417777778,20.8518879517426
"3421177","NUP107",-1.53330988888889,5.77809452222222,-8.63243301420626,1.0440710991317e-13,1.64273902644566e-11,1.53330988888889,20.7995677953829
"3904566","DSN1",-1.23922673333333,5.6529971,-8.63228215281523,1.04485695198943e-13,1.64273902644566e-11,1.23922673333333,20.7988332122491
"3235789","MCM10",-1.29492611111111,3.56652312222222,-8.62859086980015,1.06427011299096e-13,1.66139357851377e-11,1.29492611111111,20.780859892256
"3047581","INHBA",-1.612662,5.28844757777778,-8.61276796718023,1.15164466441459e-13,1.78513033157955e-11,1.612662,20.703826975697
"2829947","TGFBI",-1.48627688888889,7.92341773333333,-8.59408537639688,1.26406260863918e-13,1.94568406145153e-11,1.48627688888889,20.612894638227
"3824471","GLT25D1",-1.04528508888889,7.30506325555556,-8.59080316647595,1.28491347351436e-13,1.96404378232809e-11,1.04528508888889,20.5969219748483
"2882098","SPARC",-1.69286028888889,9.47485578888889,-8.58805099473004,1.30266128812427e-13,1.97743983537264e-11,1.69286028888889,20.5835293086055
"3716893","ATAD5",-1.33423977777778,2.93188055555556,-8.58245552422541,1.33950181228485e-13,2.01257345112792e-11,1.33423977777778,20.5563022277838
"3148796","NUDCD1",-1.34868768888889,5.31992973333333,-8.58176898626473,1.34409294132845e-13,2.01257345112792e-11,1.34868768888889,20.5529617498334
"3736290","BIRC5",-1.22317004444444,5.46563891111111,-8.56347642616107,1.47237268037525e-13,2.18975642349591e-11,1.22317004444444,20.4639686485265
"2946219","HIST1H2AB",-2.03925014444444,4.58120461666667,-8.54417053898464,1.62101819793035e-13,2.39464641306342e-11,2.03925014444444,20.370072719656
"3417146","CDK2",-1.11520524444444,5.881538,-8.53609491027274,1.68755052031309e-13,2.47631163350743e-11,1.11520524444444,20.3308045191126
"3405587","GPRC5A",-1.67766262222222,7.00996928888889,-8.53110610360594,1.73000491149371e-13,2.52179722562173e-11,1.67766262222222,20.3065486527042
"2735027","SPP1",-2.40700406666666,6.14666738888889,-8.50802270295343,1.94073009443486e-13,2.79198758879776e-11,2.40700406666666,20.1943408519302
"3590086","RAD51",-1.26499117777778,3.39611065555556,-8.44941875034936,2.59786359084148e-13,3.71308931805272e-11,1.26499117777778,19.9096587276428
"2901913","TUBB",-1.27595295555555,8.19509621111111,-8.44159573352286,2.70093456395669e-13,3.83550133466134e-11,1.27595295555555,19.8716778632305
"3886223","MYBL2",-1.26968411111111,6.16784192222222,-8.41734656849118,3.04704300398551e-13,4.29926048466186e-11,1.26968411111111,19.7539804813539
"3888133","CSE1L",-1.3485928,6.26853944444444,-8.41451505744182,3.09023628253011e-13,4.33243253597262e-11,1.3485928,19.7402405249609
"3290210","ZWINT",-1.31105186666666,4.85408297777778,-8.40853294519496,3.18350729268183e-13,4.43494803919113e-11,1.31105186666666,19.7112144833725
"3428268","GAS2L3",-1.47554151111111,4.66988031111111,-8.35540088825375,4.14524024788466e-13,5.70255519351183e-11,1.47554151111111,19.4535476039641
"2781138","LEF1",-1.34661228888889,5.08072772222222,-8.33989779079883,4.47693817550058e-13,6.12061404850579e-11,1.34661228888889,19.37841200374
"3342426","C11orf82",-1.37033915555555,3.28345464444444,-8.32744975765565,4.76231144061548e-13,6.47057019255478e-11,1.37033915555555,19.3180986554875
"2665572","SGOL1",-1.44334697777778,3.92403284444444,-8.30835702258511,5.23562008875585e-13,7.07001434193896e-11,1.44334697777778,19.2256182426671
"3904747","RBL1",-1.21414868888889,5.0119585,-8.29979118736642,5.46292603369513e-13,7.33197956875997e-11,1.21414868888889,19.1841385984008
"3231774","GTPBP4",-1.10562355555555,6.57150708888889,-8.2929697939295,5.65095190330042e-13,7.53836983900277e-11,1.10562355555555,19.1511112995517
"3750785","SPAG5",-1.24743188888889,4.36362814444444,-8.28488764079811,5.88209095728241e-13,7.79944000365923e-11,1.24743188888889,19.1119854925819
"3629103","KIAA0101",-1.90061382222222,5.12677493333333,-8.28265376474625,5.94762210028003e-13,7.83910838618346e-11,1.90061382222222,19.1011723736563
"3619945","OIP5",-1.17216135555555,4.87388876666667,-8.27642571493461,6.1341888335945e-13,8.03688276287194e-11,1.17216135555555,19.0710279174454
"2980241","FBXO5",-1.29159277777778,4.58310261111111,-8.27221260519576,6.2636908579625e-13,8.15799405175222e-11,1.29159277777778,19.0506381200994
"2946215","HIST1H3B",-2.07183566666666,7.91356632222222,-8.26860090806212,6.3768726002888e-13,8.25654957676216e-11,2.07183566666666,19.0331602935702
"2494484","NCAPH",-1.30452342222222,4.60340717777778,-8.25565213510444,6.79966085429023e-13,8.75247573472411e-11,1.30452342222222,18.9705086808556
