"","logFC","logCPM","F","PValue","FDR","Significant"
"ENSG00000187824.9",-2.91903301793409,1.86269960100676,549.242445839729,1.16083994565346e-83,1.92486432823309e-81,TRUE
"ENSG00000092009.10",-3.60524342640237,-1.1275355727339,453.511669612903,1.14485287425876e-82,1.84750632583508e-80,TRUE
"ENSG00000170382.12",-3.72813115550398,2.7514462950038,539.806616993762,1.298513093643e-82,2.07693147384988e-80,TRUE
"ENSG00000135406.14",-3.40419205681016,-0.290170141145537,487.834877389962,2.49564790461156e-82,3.95669651122363e-80,TRUE
"ENSG00000172594.13",-2.59245559012099,4.81954644628292,535.701913969629,2.5705385536626e-82,4.03999250599111e-80,TRUE
"ENSG00000134028.14",-3.55852587934852,5.5448942285085,529.701014580316,1.13240956607305e-81,1.764411249759e-79,TRUE
"ENSG00000281100.1",-2.50622595899793,-0.726358699313091,476.291751230931,1.93566886869168e-81,2.99019479766952e-79,TRUE
"ENSG00000060566.14",-4.56764028695523,2.06923589928462,525.000884581533,2.04648670488792e-81,3.13459328001222e-79,TRUE
"ENSG00000158887.19",-2.70137935665763,0.861223790277546,521.547949618924,2.37539853222774e-81,3.60781118247767e-79,TRUE
"ENSG00000134201.12",-2.86502201389231,0.790005368320129,518.069744623109,3.86414593576902e-81,5.82004780359077e-79,TRUE
"ENSG00000166828.3",-4.33862483840033,0.566033764013423,492.041721182737,5.37718083787033e-81,8.03199722840235e-79,TRUE
"ENSG00000173930.9",-3.49911563639393,-0.0470509061774519,484.848877896058,7.98983347096671e-81,1.18367418159223e-78,TRUE
"ENSG00000271178.1",-3.56891011263182,-0.547076107131278,464.44163570477,9.39235791639049e-81,1.38014208927514e-78,TRUE
"ENSG00000159176.14",-2.22240150666126,8.27568818769574,516.628785884025,2.94656478502943e-80,4.29485580037273e-78,TRUE
"ENSG00000018625.15",-4.72160037825044,2.48974182183575,514.872651379267,4.7011246958639e-80,6.79745022024352e-78,TRUE
"ENSG00000138744.16",-2.11387903758021,5.31594749410661,513.449540574003,6.72012011049793e-80,9.63963895850315e-78,TRUE
"ENSG00000136546.16",-4.57523262983664,1.81439501477426,507.177521388238,1.10495692429335e-79,1.57251901178567e-77,TRUE
"ENSG00000095303.17",-2.86906656668715,4.62165996838208,510.125481613107,1.62381754575111e-79,2.27510684665935e-77,TRUE
"ENSG00000187091.14",-2.27635511791317,4.61267024698051,509.033832724979,2.12389353793342e-79,2.93032456523731e-77,TRUE
"ENSG00000004799.8",-3.26169213173012,4.98971283866853,504.685426395524,6.44350523716463e-79,8.82272073155406e-77,TRUE
"ENSG00000171227.7",-3.11294144141349,4.68266288848204,503.39958067582,9.07134891177574e-79,1.23274857316868e-76,TRUE
"ENSG00000114200.10",-3.98013319662925,1.01811831882153,490.183963829424,1.58416335553984e-78,2.12090136948349e-76,TRUE
"ENSG00000122367.20",-3.97771058250558,1.72813990996747,497.635138209086,2.5471482330874e-78,3.38508508564865e-76,TRUE
"ENSG00000168477.19",-3.90674382860295,4.04829657262656,497.3758111352,4.73502935261554e-78,6.24678251964769e-76,TRUE
"ENSG00000141639.12",-3.69918504902658,-0.174181258093692,453.63579028689,5.04481570172601e-78,6.60724630384028e-76,TRUE
"ENSG00000187097.13",-2.55292322675418,6.25233467620326,495.856975844194,6.01428703885055e-78,7.82030388058884e-76,TRUE
"ENSG00000198624.13",-2.83471135142278,4.79802036457104,493.214645986686,1.23561685229148e-77,1.58386801335576e-75,TRUE
"ENSG00000136457.10",-2.84877174498499,0.174466804130974,471.974059768829,2.00866535043006e-77,2.55666320730091e-75,TRUE
"ENSG00000071991.9",-3.95979696334223,0.331711853287133,461.640385787929,2.95621081610819e-77,3.73640239792583e-75,TRUE
"ENSG00000243064.8",-3.26938059123135,0.709099163840872,477.874003767816,4.62353658940198e-77,5.76315864254148e-75,TRUE
"ENSG00000162374.18",-3.02764752766699,-0.592394208223826,438.463193012067,2.12194232282501e-76,2.62684832484515e-74,TRUE
"ENSG00000263400.8",-2.36170940542402,-0.759191905720887,437.681786954139,2.39306627878647e-76,2.94233196753651e-74,TRUE
"ENSG00000237125.11",-4.1101012222244,1.69698327006348,477.590577567278,3.88709806399891e-76,4.74698718977813e-74,TRUE
"ENSG00000135298.14",-3.23190233172422,-0.963034258726503,419.454085278234,5.005395886039e-76,6.07164598954825e-74,TRUE
"ENSG00000174358.16",-5.53240227948197,3.38023908767406,478.617909320364,6.55228674688567e-76,7.89506871088077e-74,TRUE
"ENSG00000162391.12",-2.36102384616016,0.843016586325886,471.738784873195,1.34060603137194e-75,1.60464327225274e-73,TRUE
"ENSG00000057704.13",-2.3997032016348,4.96353221149675,475.13752397802,1.37182755161117e-75,1.63121126104081e-73,TRUE
"ENSG00000158467.16",-2.61831002226765,6.90155892699203,472.082768571431,2.99062590949485e-75,3.5328478881183e-73,TRUE
"ENSG00000253549.6",-2.88811621845598,0.0948234271871445,451.462092802921,3.12559891922226e-75,3.66831654974176e-73,TRUE
"ENSG00000078804.13",-2.54545764109261,5.92184873643527,469.855580379879,5.43198239829069e-75,6.33404192688425e-73,TRUE
"ENSG00000183230.17",-3.49527255637177,-0.615211490046399,419.827360123999,5.84829454064635e-75,6.77577407228475e-73,TRUE
"ENSG00000137872.17",-3.08670533328917,3.54255623885998,467.561113792103,1.16394454580796e-74,1.33994482298937e-72,TRUE
"ENSG00000204936.10",-5.63899152207896,5.85843176846088,466.594540577774,1.38843791935259e-74,1.58826752875815e-72,TRUE
"ENSG00000101605.13",-3.1715831487864,1.81378902206447,466.70705189171,1.47140487938309e-74,1.67258942075283e-72,TRUE
"ENSG00000164530.15",-4.38424736924707,1.68635484013824,461.252339489317,1.9585248398625e-74,2.21239862222968e-72,TRUE
"ENSG00000272463.1",-2.49949439173797,0.00852273931367971,446.535660547715,2.46002065601218e-74,2.76164057992324e-72,TRUE
"ENSG00000080493.18",-4.51330855210319,5.19569213109127,461.628760276642,5.13869532947401e-74,5.73313452993292e-72,TRUE
"ENSG00000160868.15",-4.96392993495358,2.19984548403772,455.900736386291,1.10598068218627e-73,1.22634937729047e-71,TRUE
"ENSG00000119919.11",-2.80568211113292,2.33525515783659,459.394299200261,1.18994304376953e-73,1.31140430323722e-71,TRUE
"ENSG00000121577.14",-3.18332091086918,1.64745948530049,455.412119709907,2.63588503070249e-73,2.86993891836848e-71,TRUE
"ENSG00000118515.11",-2.7004394272167,5.93471008859339,455.183875825452,2.73333166758715e-73,2.95821775808205e-71,TRUE
"ENSG00000205364.4",-4.34383559024478,3.12004537057427,456.02150262411,2.93061340301333e-73,3.15285158607518e-71,TRUE
"ENSG00000239571.1",-3.356166134012,-0.964700891167597,398.544389510875,6.58908635047197e-73,7.04681341410831e-71,TRUE
"ENSG00000213996.13",-3.13041493975934,-0.0911807331224038,423.485644756522,8.97837133807738e-73,9.54559315084768e-71,TRUE
"ENSG00000198597.9",-2.98379226675303,-0.667095596282966,402.953871487699,4.77788797307603e-72,5.02067135031257e-70,TRUE
"ENSG00000263961.8",-2.72439847877076,-1.0388236069414,394.692393725201,5.24462421165952e-72,5.47926809257423e-70,TRUE
"ENSG00000155850.8",-4.13740624216778,8.05631118176998,443.025297533666,7.29025339483534e-72,7.57264596886516e-70,TRUE
"ENSG00000100146.18",-3.7264283108881,0.438659980959964,418.960664305109,2.85934339507183e-71,2.93635071150729e-69,TRUE
