"GeneSymbol","logFC_COAD","PValue_COAD","FDR_COAD","logFC_READ","PValue_READ","FDR_READ"
"CCN6",5.33837091503466,6.28088534805851e-15,2.88783316664486e-14,6.41232982919272,7.95992119256651e-05,0.000297869592173699
"CCNO",3.01947554298258,1.40036506674836e-36,2.94990655202912e-35,3.62216903583982,1.02086795263615e-10,1.50452093578886e-09
"CCNP",4.88840496089479,1.13213505965643e-31,1.76094742411621e-30,5.00474555095813,6.21937141033703e-12,1.11568923968619e-10
"CD163L1",-2.9747191658224,4.067210244754e-70,3.99514988933064e-68,-2.14270472878632,8.08073129998433e-12,1.41975280026489e-10
"CD177",-5.63899152207896,1.38843791935259e-74,1.58826752875815e-72,-3.60519046375375,1.3352439318458e-08,1.27146155699301e-07
"CD22",-2.33527287527794,1.04784653974334e-24,1.02316468715944e-23,-3.2552497787737,8.75597096926741e-19,4.00295295255717e-17
"CD300LD-AS1",3.9724941662624,2.5483512938975e-13,1.01607988718075e-12,2.77691752728595,0.0023894044178451,0.00582116864766204
"CD36",-2.33387976064477,2.37989369889861e-28,2.91819529945003e-27,-2.94898270549438,7.03808489867523e-18,2.91966480252682e-16
"CD79A",-2.45612838889612,8.29800132764772e-27,9.24649050529624e-26,-2.52672446227347,1.88181427726257e-09,2.1729377360066e-08
"CDC25B",2.20754064544589,1.7323089180399e-40,4.50500019923068e-39,2.44456916093296,8.02965150504932e-12,1.41354994717081e-10
"CDH19",-3.95979696334223,2.95621081610819e-77,3.73640239792583e-75,-4.78340280853407,1.03674223158758e-32,2.41291656263391e-30
"CDH3",6.04524448922276,4.93662428120382e-91,1.17400720076944e-88,5.1080908698702,4.78697628326633e-27,5.60701973675921e-25
"CDK5RAP3",2.07099579287983,1.40569173754078e-21,1.09416332748975e-20,2.33925419396944,7.78194675292387e-08,6.29049471173426e-07
"CDKN2A",3.08293544819719,1.10175228836346e-16,5.8191323377794e-16,3.19679837611088,1.71159151187388e-05,7.69915448902905e-05
"CDKN2B",-3.26905300206971,9.46182789601932e-91,2.22094905704744e-88,-2.54841136304075,3.84242617650952e-18,1.62789880636471e-16
"CDKN2B-AS1",-4.57014902099219,3.88381216862058e-98,1.15075444484669e-95,-4.60909964842199,1.31645653089751e-26,1.48378726353549e-24
"CEACAM7",-4.32727885321975,4.58920170015762e-59,2.88004276141142e-57,-3.04194034682753,3.33015852414347e-09,3.60820864033707e-08
"CEL",5.9294779307369,1.51011361642055e-17,8.5667901767687e-17,7.15729451232634,2.95499153944166e-07,2.1028132244877e-06
"CELSR3",2.74488137470399,1.89076533430889e-30,2.69721331115224e-29,3.0630354005876,4.78986297761247e-12,8.75909534916256e-11
"CEMIP",5.29725039667195,1.50486067791443e-60,9.96294941121811e-59,5.08418842224571,5.67119080398145e-16,1.81812898744457e-14
"CEP72",2.05609203866365,1.030198816068e-41,2.89127537292127e-40,2.1571775304358,3.86512080441826e-15,1.1088166845486e-13
